KennyBritt|STL|1||2|3|37|37.0|18.5|21|0.0|2|0||0|0|0|0|0||0|0|0|0|0||0|0|
DarriusHeyward-Bey|PIT|1||4|7|58|58.0|14.5|43|3.0|2|0||0|0|0|0|0||0|0|0|0|0||0|0|
DougBaldwin|SEA|1||7|9|35|35.0|5.0|8|0.0|0|0||0|0|0|0|0||0|0|0|0|0||0|0|
KamarAiken|BAL|1||1|3|-1|-1.0|-1.0|-1|0.0|0|0||0|0|0|0|0||0|0|0|0|0||0|0|
BrianHartline|CLE|1||2|5|20|20.0|10.0|11|0.0|2|0||0|0|0|0|0||0|0|0|0|0||0|0|
RandallCobb|GNB|1||5|5|38|38.0|7.6|10|0.0|2|1||0|0|0|0|0||0|0|0|0|0||0|0|
A.J.Green|CIN|1||5|8|63|63.0|12.6|30|0.0|3|0||0|0|0|0|0||0|0|0|0|0||0|0|
ChrisMatthews|SEA|1||1|1|8|8.0|8.0|8|0.0|0|0||0|0|0|0|0||0|0|0|0|0||0|0|
MichaelFloyd|ARI|1||1|1|18|18.0|18.0|18|0.0|1|0||0|0|0|0|0||0|0|0|0|0||0|0|
MohamedSanu|CIN|1||2|3|34|34.0|17.0|28|0.0|1|0||0|0|0|0|0||0|0|0|0|0||0|0|
RuebenRandle|NYG|1||3|5|23|23.0|7.7|16|0.0|1|0||0|0|0|0|0||0|0|0|0|0||0|0|
AlshonJeffery|CHI|1||5|11|78|78.0|15.6|25|0.0|5|0||0|0|0|0|0||0|0|0|0|0||0|0|
KendallWright|TEN|1||4|4|101|101.0|25.3|52|0.0|3|1||0|0|0|0|0||0|0|0|0|0||0|0|
AndrewHawkins|CLE|1||3|6|24|24.0|8.0|11|0.0|1|0||0|0|0|0|0||0|0|0|0|0||0|0|
CecilShortsIII|HOU|1||4|8|57|57.0|14.3|20|0.0|3|0||0|0|0|0|0||0|0|0|0|0||0|0|
DezBryant|DAL|1||5|7|48|48.0|9.6|18|0.0|2|0||0|0|0|0|0||0|0|0|0|0||0|0|
DemaryiusThomas|DEN|1||7|11|60|60.0|8.6|11|0.0|3|0||0|0|0|0|0||0|0|0|0|0||0|0|
BryanWalters|JAC|1||2|2|17|17.0|8.5|13|0.0|1|0||0|0|0|0|0||0|0|0|0|0||0|0|
LouisMurphy|TAM|1||0|3|0|0.0|N/A|0|N/A|0|0||0|0|0|0|0||0|0|0|0|0||0|0|
GoldenTate|DET|1||4|8|24|24.0|6.0|11|0.0|1|0||0|0|N/A|0|0||2|34|17.0|20|0||0|0|
JordanNorwood|DEN|1||2|5|25|25.0|12.5|15|0.0|2|0||0|0|0|0|0||0|0|0|0|0||0|0|
EmmanuelSanders|DEN|1||8|12|65|65.0|8.1|18|0.0|5|0||0|0|N/A|0|0||3|20|6.7|13|0||0|0|
AntonioBrown|PIT|1||9|11|133|133.0|14.8|37|5.2|6|1||0|0|N/A|0|0||1|3|3.0|3|0||0|0|
PrestonParker|NYG|1||2|6|26|26.0|13.0|15|0.0|1|0||0|0|0|0|0||0|0|0|0|0||0|0|
EricDecker|NYJ|1||2|3|37|37.0|18.5|22|0.0|2|1||0|0|0|0|0||0|0|0|0|0||0|0|
AndreRoberts|WAS|1||3|4|36|36.0|12.0|18|0.0|2|0||0|0|0|0|0||0|0|0|0|0||0|0|
GriffWhalen|IND|1||0|0|0|0|0|0|0|0|0||0|0|N/A|0|0||0|0|N/A|0|0||0|0|
DriArcher|PIT|1||0|0|0|0|0|0|0|0|0||1|22|22.0|22|0||0|0|N/A|0|0||0|0|
TyMontgomery|GNB|1||0|0|0|0|0|0|0|0|0||3|106|35.3|46|0||0|0|N/A|0|0||0|0|
MarcusThigpen|BUF|1||0|0|0|0|0|0|0|0|0||1|0|0.0|0|0||1|6|6.0|6|0||0|0|
BrandonTate|CIN|1||0|0|0|0|0|0|0|0|0||2|14|7.0|8|0||0|0|N/A|0|0||0|0|
JacobyJones|SDG|1||0|0|0|0|0|0|0|0|0||1|24|24.0|24|0||0|0|N/A|0|0||0|0|
MarcMariani|CHI|1||0|0|0|0|0|0|0|0|0||2|48|24.0|25|0||1|11|11.0|11|0||0|0|
JeremyKerley|NYJ|1||0|0|0|0|0|0|0|0|0||0|0|N/A|0|0||2|13|6.5|12|0||0|0|
